mapstat_id,timestamp_unix,team1_id,team1_nome,team1_score,team2_id,team2_nome,team2_score,vencedor,mapa,evento_id,evento_nome
170377,1707920400000,12394,BetBoom,6,4991,fnatic,13,fnatic,Anubis,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170375,1707915900000,11251,Eternal Fire,13,4411,Ninjas in Pyjamas,11,Eternal Fire,Overpass,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170370,1707912000000,4608,Natus Vincere,13,12591,KOI,8,Natus Vincere,Ancient,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170368,1707908400000,5378,Virtus.pro,13,10567,SAW,6,Virtus.pro,Ancient,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170367,1707908400000,6667,FaZe,13,11883,9 Pandas,6,FaZe,Mirage,7259,PGL CS2 Major Copenhagen 2024 Europe RMR A
170280,1707679200000,11641,Metizport,13,9806,Apeks,6,Metizport,Inferno,7682,RES Western European Masters Spring 2024 - BLAST Premier Qualifier
170279,1707679200000,11641,Metizport,11,9806,Apeks,13,Apeks,Ancient,7682,RES Western European Masters Spring 2024 - BLAST Premier Qualifier
170277,1707679200000,9806,Apeks,6,11641,Metizport,13,Metizport,Mirage,7682,RES Western European Masters Spring 2024 - BLAST Premier Qualifier
170274,1707669000000,9806,Apeks,13,4914,3DMAX,9,Apeks,Inferno,7682,RES Western European Masters Spring 2024 - BLAST Premier Qualifier
170270,1707669000000,9806,Apeks,13,4914,3DMAX,6,Apeks,Ancient,7682,RES Western European Masters Spring 2024 - BLAST Premier Qualifier
170275,1707667200000,7020,Spirit,13,6667,FaZe,3,Spirit,Overpass,7435,IEM Katowice 2024
